UNINTEGRATED	PWY-6385:_peptidoglycan_biosynthesis_III_(mycobacteria)	9
UNINTEGRATED	PWY-6386:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_II_(lysine-containing)	6
UNINTEGRATED	PWY-6387:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_I_(meso-diaminopimelate_containing)	11
UNINTEGRATED	PWY-6507:_4-deoxy-L-threo-hex-4-enopyranuronate_degradation	1
UNINTEGRATED	PWY-6527:_stachyose_degradation	3
UNINTEGRATED	PWY-6588:_pyruvate_fermentation_to_acetone	1
UNINTEGRATED	PWY-6606:_guanosine_nucleotides_degradation_II	1
UNINTEGRATED	PWY-6608:_guanosine_nucleotides_degradation_III	3
UNINTEGRATED	PWY-6609:_adenine_and_adenosine_salvage_III	10
UNINTEGRATED	PWY-6700:_queuosine_biosynthesis_I_(de_novo)	13
UNINTEGRATED	PWY-6703:_preQ0_biosynthesis	4
UNINTEGRATED	PWY-6731:_starch_degradation_III	1
UNINTEGRATED	PWY-6823:_molybdopterin_biosynthesis	9
UNINTEGRATED	PWY-6876:_isopropanol_biosynthesis_(engineered)	1
UNINTEGRATED	PWY-6897:_thiamine_diphosphate_salvage_II	2
UNINTEGRATED	PWY-6936:_seleno-amino_acid_biosynthesis_(plants)	4
UNINTEGRATED	PWY-702:_L-methionine_biosynthesis_II	2
UNINTEGRATED	PWY-7111:_pyruvate_fermentation_to_isobutanol_(engineered)	9
UNINTEGRATED	PWY-7197:_pyrimidine_deoxyribonucleotide_phosphorylation	1
UNINTEGRATED	PWY-7199:_pyrimidine_deoxyribonucleosides_salvage	3
UNINTEGRATED	PWY-7208:_superpathway_of_pyrimidine_nucleobases_salvage	3
UNINTEGRATED	PWY-7220:_adenosine_deoxyribonucleotides_de_novo_biosynthesis_II	2
UNINTEGRATED	PWY-7221:_guanosine_ribonucleotides_de_novo_biosynthesis	14
UNINTEGRATED	PWY-7222:_guanosine_deoxyribonucleotides_de_novo_biosynthesis_II	2
UNINTEGRATED	PWY-7228:_superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_I	2
UNINTEGRATED	PWY-7229:_superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_I	2
UNINTEGRATED	PWY-7237:_myo-,_chiro-_and_scyllo-inositol_degradation	12
UNINTEGRATED	PWY-7238:_sucrose_biosynthesis_II	10
UNINTEGRATED	PWY-7242:_D-fructuronate_degradation	1
UNINTEGRATED	PWY-724:_superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_II	2
UNINTEGRATED	PWY-7315:_dTDP-N-acetylthomosamine_biosynthesis	1
UNINTEGRATED	PWY-7357:_thiamine_phosphate_formation_from_pyrithiamine_and_oxythiamine_(yeast)	6
UNINTEGRATED	PWY-7790:_UMP_biosynthesis_II	6
UNINTEGRATED	PWY-7791:_UMP_biosynthesis_III	6
UNINTEGRATED	PWY-7851:_coenzyme_A_biosynthesis_II_(eukaryotic)	7
UNINTEGRATED	PWY-7953:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_III_(meso-diaminopimelate_containing)	8
UNINTEGRATED	PWY-7977:_L-methionine_biosynthesis_IV	2
UNINTEGRATED	PWY-8178:_pentose_phosphate_pathway_(non-oxidative_branch)_II	6
UNINTEGRATED	PWY-I9:_L-cysteine_biosynthesis_VI_(from_L-methionine)	2
UNINTEGRATED	PWY0-1061:_superpathway_of_L-alanine_biosynthesis	2
UNINTEGRATED	PWY0-1241:_ADP-L-glycero-&beta;-D-manno-heptose_biosynthesis	2
UNINTEGRATED	PWY0-1296:_purine_ribonucleosides_degradation	6
UNINTEGRATED	PWY0-1319:_CDP-diacylglycerol_biosynthesis_II	9
UNINTEGRATED	PWY0-1477:_ethanolamine_utilization	2
UNINTEGRATED	PWY0-1586:_peptidoglycan_maturation_(meso-diaminopimelate_containing)	3
UNINTEGRATED	PWY4FS-7:_phosphatidylglycerol_biosynthesis_I_(plastidic)	1
UNINTEGRATED	PWY4FS-8:_phosphatidylglycerol_biosynthesis_II_(non-plastidic)	1
UNINTEGRATED	PWY66-429:_fatty_acid_biosynthesis_initiation_(mitochondria)	2
UNINTEGRATED	PYRIDNUCSYN-PWY:_NAD_de_novo_biosynthesis_I_(from_aspartate)	1
UNINTEGRATED	RIBOSYN2-PWY:_flavin_biosynthesis_I_(bacteria_and_plants)	3
UNINTEGRATED	SALVADEHYPOX-PWY:_adenosine_nucleotides_degradation_II	3
UNINTEGRATED	SER-GLYSYN-PWY:_superpathway_of_L-serine_and_glycine_biosynthesis_I	2
UNINTEGRATED	THISYNARA-PWY:_superpathway_of_thiamine_diphosphate_biosynthesis_III_(eukaryotes)	3
UNINTEGRATED	THRESYN-PWY:_superpathway_of_L-threonine_biosynthesis	2
UNINTEGRATED	TRNA-CHARGING-PWY:_tRNA_charging	6
UNINTEGRATED	UDPNAGSYN-PWY:_UDP-N-acetyl-D-glucosamine_biosynthesis_I	5
UNINTEGRATED	VALSYN-PWY:_L-valine_biosynthesis	13
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	ARGSYN-PWY:_L-arginine_biosynthesis_I_(via_L-ornithine)	5
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	ARGSYNBSUB-PWY:_L-arginine_biosynthesis_II_(acetyl_cycle)	5
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	ARO-PWY:_chorismate_biosynthesis_I	5
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	BRANCHED-CHAIN-AA-SYN-PWY:_superpathway_of_branched_chain_amino_acid_biosynthesis	4
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	CALVIN-PWY:_Calvin-Benson-Bassham_cycle	4
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	CITRULBIO-PWY:_L-citrulline_biosynthesis	1
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	COA-PWY-1:_superpathway_of_coenzyme_A_biosynthesis_III_(mammals)	5
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	COA-PWY:_coenzyme_A_biosynthesis_I_(prokaryotic)	5
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	COBALSYN-PWY:_superpathway_of_adenosylcobalamin_salvage_from_cobinamide_I	2
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	COMPLETE-ARO-PWY:_superpathway_of_aromatic_amino_acid_biosynthesis	3
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	DTDPRHAMSYN-PWY:_dTDP-&beta;-L-rhamnose_biosynthesis	4
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	GALACTARDEG-PWY:_D-galactarate_degradation_I	1
