PWY-5188	PWY-7111
PWY-5973	PWY-8178
PWY-3841	PWY-6700
PWY-5103	PWY-7220
PWY-5686	PWY-7790
ARGSYNBSUB-PWY	PWY-5941
PWY-5659	TRNA-CHARGING-PWY
DTDPRHAMSYN-PWY	PWY-7221
BIOTIN-BIOSYNTHESIS-PWY	PWY-5695
ANAGLYCOLYSIS-PWY	P41-PWY
PWY-6123	PWY-7228
SER-GLYSYN-PWY	THRESYN-PWY
P41-PWY	PWY-2942
BRANCHED-CHAIN-AA-SYN-PWY	PWY0-1319
PWY-5686	PWY-6519
HISTSYN-PWY	PWY-7199
PWY-6277	PWY-7977
P41-PWY	PWY-724
BRANCHED-CHAIN-AA-SYN-PWY	CALVIN-PWY
PWY-6507	PWY-7111
PWY-7357	PWY0-1241
ASPASN-PWY	PWY-6823
PWY-7221	PYRIDNUCSYN-PWY
ARO-PWY	P41-PWY
GLUTORN-PWY	THISYNARA-PWY
DTDPRHAMSYN-PWY	PWY-6121
P41-PWY	PANTO-PWY
PWY-7238	PWY-8178
P41-PWY	PWY-6121
PWY-5100	PWY-I9
NONOXIPENT-PWY	PEPTIDOGLYCANSYN-PWY
COA-PWY	PWY-5103
PWY-6126	PWY-6519
PWY-6823	THISYNARA-PWY
PWY0-1297	THISYNARA-PWY
PWY-1042	PWY66-429
PWY-5103	PWY0-1297
COMPLETE-ARO-PWY	PWY-8178
PWY-5686	PWY0-1241
METH-ACETATE-PWY	PEPTIDOGLYCANSYN-PWY
COBALSYN-PWY	PWY-5188
HISDEG-PWY	UDPNAGSYN-PWY
PWY-6387	PWY-6823
PWY-5941	PWY-6277
PWY-5695	PWY-7234
PWY-6700	PWY-8178
PWY-6277	TRNA-CHARGING-PWY
DTDPRHAMSYN-PWY	VALSYN-PWY
ARGSYNBSUB-PWY	PWY-I9
GALACTUROCAT-PWY	PWY-7221
COA-PWY	PWY-5097
PWY-6123	PWY-6703
PWY-7977	PYRIDNUCSYN-PWY
PWY-5097	THRESYN-PWY
PWY-5695	PWY-6151
PWY-6122	PWY0-1586
PWY-5030	PWY-5989
PWY-6126	PWY-6700
PWY-7560	UDPNAGSYN-PWY
COA-PWY	PWY-6936
PWY-7953	THRESYN-PWY
PWY-5100	PWY-7791
PWY-5686	PWY-6386
GLUTORN-PWY	PWY-6609
ILEUSYN-PWY	PWY-7791
PWY-5659	PWY-6277
PEPTIDOGLYCANSYN-PWY	PWY-5667
PWY-1042	PWY-5130
PWY-5667	PWY-8178
ILEUSYN-PWY	PWY-1269
PWY-5188	PWY-5667
ARGSYN-PWY	PWY-6527
ARGSYN-PWY	NONOXIPENT-PWY
PWY-5121	PWY-7228
PWY-6385	PYRIDOXSYN-PWY
