original_taxon	issue	details
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_424	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_424
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_460	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_460
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_475	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_475
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_534	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_534
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_552	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_552
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_555	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_555
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_582	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_582
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_646	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_646
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_65_45_313	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_65_45_313
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_791	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_791
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_884	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_884
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_94	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_94
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_95	species_does_not_start_with_genus	Parsed but suspicious: g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_95
g__Lachnoclostridium.s__Clostridium_aldenense	species_does_not_start_with_genus	Parsed but suspicious: g__Lachnoclostridium.s__Clostridium_aldenense
g__Lachnoclostridium.s__Clostridium_asparagiforme	species_does_not_start_with_genus	Parsed but suspicious: g__Lachnoclostridium.s__Clostridium_asparagiforme
g__Lachnoclostridium.s__Clostridium_citroniae	species_does_not_start_with_genus	Parsed but suspicious: g__Lachnoclostridium.s__Clostridium_citroniae
g__Lachnoclostridium.s__Clostridium_clostridioforme	species_does_not_start_with_genus	Parsed but suspicious: g__Lachnoclostridium.s__Clostridium_clostridioforme
g__Lachnoclostridium.s__Clostridium_lavalense	species_does_not_start_with_genus	Parsed but suspicious: g__Lachnoclostridium.s__Clostridium_lavalense
g__Lachnoclostridium.s__Clostridium_saccharolyticum	species_does_not_start_with_genus	Parsed but suspicious: g__Lachnoclostridium.s__Clostridium_saccharolyticum
g__Lachnoclostridium.s__Clostridium_scindens	species_does_not_start_with_genus	Parsed but suspicious: g__Lachnoclostridium.s__Clostridium_scindens
g__Lachnoclostridium.s__Clostridium_symbiosum	species_does_not_start_with_genus	Parsed but suspicious: g__Lachnoclostridium.s__Clostridium_symbiosum
g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	species_does_not_start_with_genus	Parsed but suspicious: g__Lachnospiraceae_unclassified.s__Eubacterium_rectale
g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_2_1_46FAA	species_does_not_start_with_genus	Parsed but suspicious: g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_2_1_46FAA
g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_OF09_6	species_does_not_start_with_genus	Parsed but suspicious: g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_OF09_6
g__Lentisphaerae_unclassified.s__Lentisphaerae_bacterium	species_does_not_start_with_genus	Parsed but suspicious: g__Lentisphaerae_unclassified.s__Lentisphaerae_bacterium
g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	species_does_not_start_with_genus	Parsed but suspicious: g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis
g__Peptostreptococcaceae_unclassified.s__Peptostreptococcaceae_bacterium_oral_taxon_929	species_does_not_start_with_genus	Parsed but suspicious: g__Peptostreptococcaceae_unclassified.s__Peptostreptococcaceae_bacterium_oral_taxon_929
g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	species_does_not_start_with_genus	Parsed but suspicious: g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139
g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_495	species_does_not_start_with_genus	Parsed but suspicious: g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_495
g__Ruminococcaceae_unclassified.s__Clostridium_leptum	species_does_not_start_with_genus	Parsed but suspicious: g__Ruminococcaceae_unclassified.s__Clostridium_leptum
g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	species_does_not_start_with_genus	Parsed but suspicious: g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum
g__Ruminococcaceae_unclassified.s__Ruminococcaceae_bacterium_D16	species_does_not_start_with_genus	Parsed but suspicious: g__Ruminococcaceae_unclassified.s__Ruminococcaceae_bacterium_D16
g__Ruminococcaceae_unclassified.s__Ruminococcaceae_bacterium_D5	species_does_not_start_with_genus	Parsed but suspicious: g__Ruminococcaceae_unclassified.s__Ruminococcaceae_bacterium_D5
g__Victivallales_unclassified.s__Victivallales_bacterium_CCUG_44730	species_does_not_start_with_genus	Parsed but suspicious: g__Victivallales_unclassified.s__Victivallales_bacterium_CCUG_44730
