original_taxon	input_genus	input_species	gtdb_accession	match_status	gtdb_species	gtdb_genus	gtdb_family	gtdb_order	gtdb_class	gtdb_phylum	gtdb_taxonomy
g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_OF09_6	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_unclassified Lachnospiraceae bacterium OF09 6		no_species_or_genus_match							
g__Lactobacillus.s__Lactobacillus_acidophilus	g__Lactobacillus	s__Lactobacillus acidophilus	RS_GCF_034298135.1	exact_species_match	s__Lactobacillus acidophilus	g__Lactobacillus	f__Lactobacillaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus acidophilus
g__Lactobacillus.s__Lactobacillus_animalis	g__Lactobacillus	s__Lactobacillus animalis		genus_match_only							
g__Lactobacillus.s__Lactobacillus_brevis	g__Lactobacillus	s__Lactobacillus brevis		genus_match_only							
g__Lactobacillus.s__Lactobacillus_buchneri	g__Lactobacillus	s__Lactobacillus buchneri		genus_match_only							
g__Lactobacillus.s__Lactobacillus_casei_group	g__Lactobacillus	s__Lactobacillus casei group		genus_match_only							
g__Lactobacillus.s__Lactobacillus_crispatus	g__Lactobacillus	s__Lactobacillus crispatus	RS_GCF_018987235.1	exact_species_match	s__Lactobacillus crispatus	g__Lactobacillus	f__Lactobacillaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus
g__Lactobacillus.s__Lactobacillus_curvatus	g__Lactobacillus	s__Lactobacillus curvatus		genus_match_only							
g__Lactobacillus.s__Lactobacillus_fermentum	g__Lactobacillus	s__Lactobacillus fermentum		genus_match_only							
g__Lactobacillus.s__Lactobacillus_gasseri	g__Lactobacillus	s__Lactobacillus gasseri	RS_GCF_000014425.1	exact_species_match	s__Lactobacillus gasseri	g__Lactobacillus	f__Lactobacillaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri
g__Lactobacillus.s__Lactobacillus_jensenii	g__Lactobacillus	s__Lactobacillus jensenii	RS_GCF_001436455.1	exact_species_match	s__Lactobacillus jensenii	g__Lactobacillus	f__Lactobacillaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii
g__Lactobacillus.s__Lactobacillus_paragasseri	g__Lactobacillus	s__Lactobacillus paragasseri	RS_GCF_003584685.1	exact_species_match	s__Lactobacillus paragasseri	g__Lactobacillus	f__Lactobacillaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus paragasseri
g__Lactobacillus.s__Lactobacillus_plantarum	g__Lactobacillus	s__Lactobacillus plantarum		genus_match_only							
g__Lactobacillus.s__Lactobacillus_rhamnosus	g__Lactobacillus	s__Lactobacillus rhamnosus		genus_match_only							
g__Lactobacillus.s__Lactobacillus_ruminis	g__Lactobacillus	s__Lactobacillus ruminis		genus_match_only							
g__Lactobacillus.s__Lactobacillus_sakei	g__Lactobacillus	s__Lactobacillus sakei		genus_match_only							
g__Lactobacillus.s__Lactobacillus_salivarius	g__Lactobacillus	s__Lactobacillus salivarius		genus_match_only							
g__Lactobacillus.s__Lactobacillus_vaccinostercus	g__Lactobacillus	s__Lactobacillus vaccinostercus		genus_match_only							
g__Lactococcus.s__Lactococcus_lactis	g__Lactococcus	s__Lactococcus lactis	RS_GCF_029023865.1	exact_species_match	s__Lactococcus lactis	g__Lactococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis
g__Lactococcus.s__Lactococcus_raffinolactis	g__Lactococcus	s__Lactococcus raffinolactis		genus_match_only							
g__Lawsonibacter.s__Lawsonibacter_asaccharolyticus	g__Lawsonibacter	s__Lawsonibacter asaccharolyticus	GB_GCA_003112755.1	exact_species_match	s__Lawsonibacter asaccharolyticus	g__Lawsonibacter	f__Oscillospiraceae	o__Oscillospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter asaccharolyticus
g__Leclercia.s__Leclercia_adecarboxylata	g__Leclercia	s__Leclercia adecarboxylata		no_species_or_genus_match							
g__Lelliottia.s__Lelliottia_amnigena	g__Lelliottia	s__Lelliottia amnigena	GB_GCA_900635465.1	ncbi_organism_name_match	s__Enterobacter amnigenus	g__Enterobacter	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter amnigenus
g__Lentisphaerae_unclassified.s__Lentisphaerae_bacterium	g__Lentisphaerae_unclassified	s__Lentisphaerae_unclassified Lentisphaerae bacterium		no_species_or_genus_match							
g__Massiliomicrobiota.s__Massiliomicrobiota_timonensis	g__Massiliomicrobiota	s__Massiliomicrobiota timonensis		no_species_or_genus_match							
g__Megamonas.s__Megamonas_funiformis	g__Megamonas	s__Megamonas funiformis	RS_GCF_010669225.1	exact_species_match	s__Megamonas funiformis	g__Megamonas	f__Selenomonadaceae	o__Selenomonadales	c__Negativicutes	p__Bacillota	d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis
g__Megamonas.s__Megamonas_hypermegale	g__Megamonas	s__Megamonas hypermegale	RS_GCF_900187035.1	exact_species_match	s__Megamonas hypermegale	g__Megamonas	f__Selenomonadaceae	o__Selenomonadales	c__Negativicutes	p__Bacillota	d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas hypermegale
g__Megamonas.s__Megamonas_rupellensis	g__Megamonas	s__Megamonas rupellensis		genus_match_only							
g__Megasphaera.s__Megasphaera_elsdenii	g__Megasphaera	s__Megasphaera elsdenii	RS_GCF_003010495.1	exact_species_match	s__Megasphaera elsdenii	g__Megasphaera	f__Megasphaeraceae	o__Veillonellales	c__Negativicutes	p__Bacillota	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera elsdenii
g__Megasphaera.s__Megasphaera_hexanoica	g__Megasphaera	s__Megasphaera hexanoica	RS_GCF_043520715.1	exact_species_match	s__Megasphaera hexanoica	g__Megasphaera	f__Megasphaeraceae	o__Veillonellales	c__Negativicutes	p__Bacillota	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera hexanoica
g__Megasphaera.s__Megasphaera_micronuciformis	g__Megasphaera	s__Megasphaera micronuciformis	RS_GCF_000165735.1	exact_species_match	s__Megasphaera micronuciformis	g__Megasphaera	f__Megasphaeraceae	o__Veillonellales	c__Negativicutes	p__Bacillota	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera micronuciformis
g__Megasphaera.s__Megasphaera_sp_DISK_18	g__Megasphaera	s__Megasphaera sp DISK 18		genus_match_only							
g__Megasphaera.s__Megasphaera_stantonii	g__Megasphaera	s__Megasphaera stantonii	RS_GCF_003367905.1	exact_species_match	s__Megasphaera stantonii	g__Megasphaera	f__Megasphaeraceae	o__Veillonellales	c__Negativicutes	p__Bacillota	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera stantonii
g__Mesosutterella.s__Mesosutterella_multiformis	g__Mesosutterella	s__Mesosutterella multiformis	RS_GCF_003402575.1	exact_species_match	s__Mesosutterella multiformis	g__Mesosutterella	f__Burkholderiaceae_F	o__Burkholderiales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_F;g__Mesosutterella;s__Mesosutterella multiformis
g__Methanobrevibacter.s__Methanobrevibacter_smithii	g__Methanobrevibacter	s__Methanobrevibacter smithii	GB_GCA_963634045.1	ncbi_organism_name_match	s__Collinsella sp963634045	g__Collinsella	f__Coriobacteriaceae	o__Coriobacteriales	c__Coriobacteriia	p__Actinomycetota	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp963634045
g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	g__Methanomassiliicoccus	s__Methanomassiliicoccus Candidatus Methanomassiliicoccus intestinalis		no_species_or_genus_match							
g__Mitsuokella.s__Mitsuokella_jalaludinii	g__Mitsuokella	s__Mitsuokella jalaludinii	RS_GCF_000702905.1	exact_species_match	s__Mitsuokella jalaludinii	g__Mitsuokella	f__Selenomonadaceae	o__Selenomonadales	c__Negativicutes	p__Bacillota	d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella jalaludinii
g__Mitsuokella.s__Mitsuokella_multacida	g__Mitsuokella	s__Mitsuokella multacida	RS_GCF_051860775.1	exact_species_match	s__Mitsuokella multacida	g__Mitsuokella	f__Selenomonadaceae	o__Selenomonadales	c__Negativicutes	p__Bacillota	d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella multacida
g__Monoglobus.s__Monoglobus_pectinilyticus	g__Monoglobus	s__Monoglobus pectinilyticus	RS_GCF_002874775.1	exact_species_match	s__Monoglobus pectinilyticus	g__Monoglobus	f__Monoglobaceae	o__Monoglobales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus;s__Monoglobus pectinilyticus
g__Morganella.s__Morganella_morganii	g__Morganella	s__Morganella morganii	RS_GCF_019243775.1	exact_species_match	s__Morganella morganii	g__Morganella	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Morganella;s__Morganella morganii
g__Morococcus.s__Morococcus_cerebrosus	g__Morococcus	s__Morococcus cerebrosus	RS_GCF_022749515.1	ncbi_organism_name_match	s__Neisseria cerebrosa	g__Neisseria	f__Neisseriaceae	o__Burkholderiales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria cerebrosa
g__Mycoplasma.s__Mycoplasma_sp_CAG_472	g__Mycoplasma	s__Mycoplasma sp CAG 472		genus_match_only							
g__Neisseria.s__Neisseria_flavescens	g__Neisseria	s__Neisseria flavescens	RS_GCF_005221285.1	exact_species_match	s__Neisseria flavescens	g__Neisseria	f__Neisseriaceae	o__Burkholderiales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria flavescens
g__Neisseria.s__Neisseria_mucosa	g__Neisseria	s__Neisseria mucosa	GB_GCA_003028315.1	exact_species_match	s__Neisseria mucosa	g__Neisseria	f__Neisseriaceae	o__Burkholderiales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria mucosa
g__Neisseria.s__Neisseria_sicca	g__Neisseria	s__Neisseria sicca	RS_GCF_014054945.1	exact_species_match	s__Neisseria sicca	g__Neisseria	f__Neisseriaceae	o__Burkholderiales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria sicca
g__Neisseria.s__Neisseria_subflava	g__Neisseria	s__Neisseria subflava	RS_GCF_005221305.1	exact_species_match	s__Neisseria subflava	g__Neisseria	f__Neisseriaceae	o__Burkholderiales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria subflava
g__Obesumbacterium.s__Obesumbacterium_proteus	g__Obesumbacterium	s__Obesumbacterium proteus	RS_GCF_001586165.1	ncbi_organism_name_match	s__Hafnia protea	g__Hafnia	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Hafnia;s__Hafnia protea
g__Odoribacter.s__Odoribacter_laneus	g__Odoribacter	s__Odoribacter laneus	RS_GCF_000243215.1	ncbi_taxonomy_species_match	s__Culturomica lanea	g__Culturomica	f__Marinifilaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Culturomica;s__Culturomica lanea
g__Odoribacter.s__Odoribacter_splanchnicus	g__Odoribacter	s__Odoribacter splanchnicus	RS_GCF_000190535.1	exact_species_match	s__Odoribacter splanchnicus	g__Odoribacter	f__Marinifilaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus
g__Oscillibacter.s__Oscillibacter_sp_57_20	g__Oscillibacter	s__Oscillibacter sp 57 20		genus_match_only							
g__Oscillibacter.s__Oscillibacter_sp_CAG_155	g__Oscillibacter	s__Oscillibacter sp CAG 155		genus_match_only							
g__Oscillibacter.s__Oscillibacter_sp_CAG_241	g__Oscillibacter	s__Oscillibacter sp CAG 241		genus_match_only							
g__Oscillibacter.s__Oscillibacter_sp_PC13	g__Oscillibacter	s__Oscillibacter sp PC13		genus_match_only							
g__Oxalobacter.s__Oxalobacter_formigenes	g__Oxalobacter	s__Oxalobacter formigenes	RS_GCF_027158485.1	exact_species_match	s__Oxalobacter formigenes	g__Oxalobacter	f__Burkholderiaceae_D	o__Burkholderiales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_D;g__Oxalobacter;s__Oxalobacter formigenes
g__Pantoea.s__Pantoea_sesami	g__Pantoea	s__Pantoea sesami		genus_match_only							
g__Parabacteroides.s__Parabacteroides_distasonis	g__Parabacteroides	s__Parabacteroides distasonis	RS_GCF_000012845.1	exact_species_match	s__Parabacteroides distasonis	g__Parabacteroides	f__Tannerellaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
g__Parabacteroides.s__Parabacteroides_goldsteinii	g__Parabacteroides	s__Parabacteroides goldsteinii	RS_GCF_000969835.1	exact_species_match	s__Parabacteroides goldsteinii	g__Parabacteroides	f__Tannerellaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii
g__Parabacteroides.s__Parabacteroides_johnsonii	g__Parabacteroides	s__Parabacteroides johnsonii	RS_GCF_025151045.1	exact_species_match	s__Parabacteroides johnsonii	g__Parabacteroides	f__Tannerellaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides johnsonii
g__Parabacteroides.s__Parabacteroides_merdae	g__Parabacteroides	s__Parabacteroides merdae	RS_GCF_025151215.1	exact_species_match	s__Parabacteroides merdae	g__Parabacteroides	f__Tannerellaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae
g__Parabacteroides.s__Parabacteroides_sp_CAG_409	g__Parabacteroides	s__Parabacteroides sp CAG 409		genus_match_only							
g__Paraprevotella.s__Paraprevotella_clara	g__Paraprevotella	s__Paraprevotella clara	RS_GCF_000233955.1	exact_species_match	s__Paraprevotella clara	g__Paraprevotella	f__Bacteroidaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__Paraprevotella clara
g__Paraprevotella.s__Paraprevotella_xylaniphila	g__Paraprevotella	s__Paraprevotella xylaniphila	RS_GCF_000205165.1	exact_species_match	s__Paraprevotella xylaniphila	g__Paraprevotella	f__Bacteroidaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__Paraprevotella xylaniphila
g__Parasutterella.s__Parasutterella_excrementihominis	g__Parasutterella	s__Parasutterella excrementihominis	RS_GCF_000205025.1	exact_species_match	s__Parasutterella excrementihominis	g__Parasutterella	f__Burkholderiaceae_F	o__Burkholderiales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_F;g__Parasutterella;s__Parasutterella excrementihominis
g__Parvimonas.s__Parvimonas_sp_KA00067	g__Parvimonas	s__Parvimonas sp KA00067		genus_match_only							
g__Pediococcus.s__Pediococcus_pentosaceus	g__Pediococcus	s__Pediococcus pentosaceus	RS_GCF_001437285.1	exact_species_match	s__Pediococcus pentosaceus	g__Pediococcus	f__Lactobacillaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus pentosaceus
g__Peptoniphilus.s__Peptoniphilus_lacrimalis	g__Peptoniphilus	s__Peptoniphilus lacrimalis	RS_GCF_000378725.1	ncbi_taxonomy_species_match	s__Peptoniphilus_A lacrimalis	g__Peptoniphilus_A	f__Peptoniphilaceae	o__Tissierellales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A lacrimalis
g__Peptostreptococcaceae_unclassified.s__Peptostreptococcaceae_bacterium_oral_taxon_929	g__Peptostreptococcaceae_unclassified	s__Peptostreptococcaceae_unclassified Peptostreptococcaceae bacterium oral taxon 929		no_species_or_genus_match							
g__Peptostreptococcus.s__Peptostreptococcus_anaerobius	g__Peptostreptococcus	s__Peptostreptococcus anaerobius	RS_GCF_000381525.1	exact_species_match	s__Peptostreptococcus anaerobius	g__Peptostreptococcus	f__Peptostreptococcaceae	o__Peptostreptococcales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__Peptostreptococcus anaerobius
g__Phascolarctobacterium.s__Phascolarctobacterium_faecium	g__Phascolarctobacterium	s__Phascolarctobacterium faecium	RS_GCF_003269275.1	exact_species_match	s__Phascolarctobacterium faecium	g__Phascolarctobacterium	f__Acidaminococcaceae	o__Acidaminococcales	c__Negativicutes	p__Bacillota	d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium
g__Phascolarctobacterium.s__Phascolarctobacterium_sp_CAG_266	g__Phascolarctobacterium	s__Phascolarctobacterium sp CAG 266		genus_match_only							
g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	g__Phascolarctobacterium	s__Phascolarctobacterium succinatutens		genus_match_only							
g__Porphyromonas.s__Porphyromonas_asaccharolytica	g__Porphyromonas	s__Porphyromonas asaccharolytica	RS_GCF_000212375.1	exact_species_match	s__Porphyromonas asaccharolytica	g__Porphyromonas	f__Porphyromonadaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas asaccharolytica
g__Porphyromonas.s__Porphyromonas_sp_HMSC065F10	g__Porphyromonas	s__Porphyromonas sp HMSC065F10		genus_match_only							
g__Porphyromonas.s__Porphyromonas_sp_HMSC077F02	g__Porphyromonas	s__Porphyromonas sp HMSC077F02		genus_match_only							
g__Porphyromonas.s__Porphyromonas_uenonis	g__Porphyromonas	s__Porphyromonas uenonis	RS_GCF_000482365.1	exact_species_match	s__Porphyromonas uenonis	g__Porphyromonas	f__Porphyromonadaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas uenonis
g__Prevotella.s__Prevotella_bivia	g__Prevotella	s__Prevotella bivia	RS_GCF_000262545.1	exact_species_match	s__Prevotella bivia	g__Prevotella	f__Bacteroidaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella bivia
g__Prevotella.s__Prevotella_buccae	g__Prevotella	s__Prevotella buccae	RS_GCF_000184945.1	exact_species_match	s__Prevotella buccae	g__Prevotella	f__Bacteroidaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella buccae
g__Prevotella.s__Prevotella_buccalis	g__Prevotella	s__Prevotella buccalis	RS_GCF_025151385.1	exact_species_match	s__Prevotella buccalis	g__Prevotella	f__Bacteroidaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella buccalis
g__Prevotella.s__Prevotella_copri	g__Prevotella	s__Prevotella copri	RS_GCF_025151535.1	exact_species_match	s__Prevotella copri	g__Prevotella	f__Bacteroidaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri
g__Prevotella.s__Prevotella_corporis	g__Prevotella	s__Prevotella corporis	RS_GCF_000430525.1	exact_species_match	s__Prevotella corporis	g__Prevotella	f__Bacteroidaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella corporis
g__Prevotella.s__Prevotella_disiens	g__Prevotella	s__Prevotella disiens	RS_GCF_000613345.1	exact_species_match	s__Prevotella disiens	g__Prevotella	f__Bacteroidaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella disiens
g__Prevotella.s__Prevotella_oralis	g__Prevotella	s__Prevotella oralis		genus_match_only							
g__Prevotella.s__Prevotella_oris	g__Prevotella	s__Prevotella oris	RS_GCF_900637655.1	exact_species_match	s__Prevotella oris	g__Prevotella	f__Bacteroidaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella oris
g__Prevotella.s__Prevotella_sp_109	g__Prevotella	s__Prevotella sp 109		genus_match_only							
g__Prevotella.s__Prevotella_sp_885	g__Prevotella	s__Prevotella sp 885		genus_match_only							
g__Prevotella.s__Prevotella_sp_AM42_24	g__Prevotella	s__Prevotella sp AM42 24		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_1031	g__Prevotella	s__Prevotella sp CAG 1031		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_1058	g__Prevotella	s__Prevotella sp CAG 1058		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_1092	g__Prevotella	s__Prevotella sp CAG 1092		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_1124	g__Prevotella	s__Prevotella sp CAG 1124		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_1185	g__Prevotella	s__Prevotella sp CAG 1185		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_1320	g__Prevotella	s__Prevotella sp CAG 1320		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_279	g__Prevotella	s__Prevotella sp CAG 279		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_386	g__Prevotella	s__Prevotella sp CAG 386		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_485	g__Prevotella	s__Prevotella sp CAG 485		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_487	g__Prevotella	s__Prevotella sp CAG 487		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_520	g__Prevotella	s__Prevotella sp CAG 520		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_5226	g__Prevotella	s__Prevotella sp CAG 5226		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_604	g__Prevotella	s__Prevotella sp CAG 604		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_617	g__Prevotella	s__Prevotella sp CAG 617		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_732	g__Prevotella	s__Prevotella sp CAG 732		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_755	g__Prevotella	s__Prevotella sp CAG 755		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_873	g__Prevotella	s__Prevotella sp CAG 873		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_891	g__Prevotella	s__Prevotella sp CAG 891		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_924	g__Prevotella	s__Prevotella sp CAG 924		genus_match_only							
g__Prevotella.s__Prevotella_stercorea	g__Prevotella	s__Prevotella stercorea	RS_GCF_000235885.1	exact_species_match	s__Prevotella stercorea	g__Prevotella	f__Bacteroidaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella stercorea
g__Prevotella.s__Prevotella_timonensis	g__Prevotella	s__Prevotella timonensis	RS_GCF_000455445.1	exact_species_match	s__Prevotella timonensis	g__Prevotella	f__Bacteroidaceae	o__Bacteroidales	c__Bacteroidia	p__Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella timonensis
