original_taxon	input_genus	input_species	gtdb_accession	match_status	gtdb_species	gtdb_genus	gtdb_family	gtdb_order	gtdb_class	gtdb_phylum	gtdb_taxonomy
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 41		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_424	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 424		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_460	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 460		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_475	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 475		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_534	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 534		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_552	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 552		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_555	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 555		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 56		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_582	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 582		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_646	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 646		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_65_45_313	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 65 45 313		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_791	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 791		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 83		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_884	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 884		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_94	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 94		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_95	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 95		no_species_or_genus_match							
g__Flavonifractor.s__Flavonifractor_plautii	g__Flavonifractor	s__Flavonifractor plautii	RS_GCF_000239295.1	exact_species_match	s__Flavonifractor plautii	g__Flavonifractor	f__Oscillospiraceae	o__Oscillospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii
g__Flavonifractor.s__Flavonifractor_sp_An10	g__Flavonifractor	s__Flavonifractor sp An10		genus_match_only							
g__Flavonifractor.s__Flavonifractor_sp_An100	g__Flavonifractor	s__Flavonifractor sp An100		genus_match_only							
g__Flavonifractor.s__Flavonifractor_sp_An306	g__Flavonifractor	s__Flavonifractor sp An306		genus_match_only							
g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	g__Fusicatenibacter	s__Fusicatenibacter saccharivorans	RS_GCF_027667425.1	exact_species_match	s__Fusicatenibacter saccharivorans	g__Fusicatenibacter	f__Lachnospiraceae	o__Lachnospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans
g__Fusobacterium.s__Fusobacterium_equinum	g__Fusobacterium	s__Fusobacterium equinum		genus_match_only							
g__Fusobacterium.s__Fusobacterium_gonidiaformans	g__Fusobacterium	s__Fusobacterium gonidiaformans	RS_GCF_003019695.1	ncbi_taxonomy_species_match	s__Fusobacterium_C gonidiaformans	g__Fusobacterium_C	f__Fusobacteriaceae	o__Fusobacteriales	c__Fusobacteriia	p__Fusobacteriota	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_C;s__Fusobacterium_C gonidiaformans
g__Fusobacterium.s__Fusobacterium_mortiferum	g__Fusobacterium	s__Fusobacterium mortiferum	RS_GCF_000158195.2	ncbi_taxonomy_species_match	s__Fusobacterium_A mortiferum	g__Fusobacterium_A	f__Fusobacteriaceae	o__Fusobacteriales	c__Fusobacteriia	p__Fusobacteriota	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A mortiferum
g__Fusobacterium.s__Fusobacterium_nucleatum	g__Fusobacterium	s__Fusobacterium nucleatum	RS_GCF_031191795.1	exact_species_match	s__Fusobacterium nucleatum	g__Fusobacterium	f__Fusobacteriaceae	o__Fusobacteriales	c__Fusobacteriia	p__Fusobacteriota	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum
g__Fusobacterium.s__Fusobacterium_sp_CAG_439	g__Fusobacterium	s__Fusobacterium sp CAG 439		genus_match_only							
